,,U.S. Census Bureau
,,Source: New Residential Construction
,,Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
,,Seasonally Adjusted Total Units [Thousands of Units]
,,Period: 2004 to 2024
,,"Data Extracted on: June 6, 2024 (2:29 am)"
,,
Period,Value,
Jan-2004,"1,952",
Feb-2004,"1,966",
Mar-2004,"2,066",
Apr-2004,"2,070",
May-2004,"2,150",
Jun-2004,"2,020",
Jul-2004,"2,112",
Aug-2004,"2,056",
Sep-2004,"2,041",
Oct-2004,"2,097",
Nov-2004,"2,079",
Dec-2004,"2,082",
Jan-2005,"2,139",
Feb-2005,"2,114",
Mar-2005,"2,062",
Apr-2005,"2,150",
May-2005,"2,085",
Jun-2005,"2,178",
Jul-2005,"2,203",
Aug-2005,"2,219",
Sep-2005,"2,263",
Oct-2005,"2,170",
Nov-2005,"2,218",
Dec-2005,"2,120",
Jan-2006,"2,212",
Feb-2006,"2,141",
Mar-2006,"2,118",
Apr-2006,"1,998",
May-2006,"1,905",
Jun-2006,"1,867",
Jul-2006,"1,763",
Aug-2006,"1,722",
Sep-2006,"1,655",
Oct-2006,"1,570",
Nov-2006,"1,535",
Dec-2006,"1,638",
Jan-2007,"1,626",
Feb-2007,"1,598",
Mar-2007,"1,596",
Apr-2007,"1,470",
May-2007,"1,493",
Jun-2007,"1,407",
Jul-2007,"1,361",
Aug-2007,"1,321",
Sep-2007,"1,261",
Oct-2007,"1,192",
Nov-2007,"1,224",
Dec-2007,"1,149",
Jan-2008,"1,094",
Feb-2008,"1,014",
Mar-2008,967,
Apr-2008,"1,008",
May-2008,995,
Jun-2008,"1,180",
Jul-2008,921,
Aug-2008,858,
Sep-2008,797,
Oct-2008,736,
Nov-2008,626,
Dec-2008,554,
Jan-2009,545,
Feb-2009,558,
Mar-2009,513,
Apr-2009,521,
May-2009,556,
Jun-2009,601,
Jul-2009,595,
Aug-2009,616,
Sep-2009,609,
Oct-2009,583,
Nov-2009,623,
Dec-2009,664,
Jan-2010,636,
Feb-2010,650,
Mar-2010,687,
Apr-2010,637,
May-2010,575,
Jun-2010,587,
Jul-2010,579,
Aug-2010,580,
Sep-2010,563,
Oct-2010,558,
Nov-2010,560,
Dec-2010,632,
Jan-2011,576,
Feb-2011,542,
Mar-2011,583,
Apr-2011,581,
May-2011,618,
Jun-2011,636,
Jul-2011,621,
Aug-2011,647,
Sep-2011,610,
Oct-2011,671,
Nov-2011,706,
Dec-2011,697,
Jan-2012,712,
Feb-2012,738,
Mar-2012,806,
Apr-2012,732,
May-2012,796,
Jun-2012,794,
Jul-2012,849,
Aug-2012,840,
Sep-2012,930,
Oct-2012,887,
Nov-2012,917,
Dec-2012,941,
Jan-2013,940,
Feb-2013,980,
Mar-2013,936,
Apr-2013,"1,012",
May-2013,"1,003",
Jun-2013,942,
Jul-2013,997,
Aug-2013,964,
Sep-2013,"1,004",
Oct-2013,"1,044",
Nov-2013,"1,029",
Dec-2013,"1,005",
Jan-2014,976,
Feb-2014,"1,039",
Mar-2014,"1,067",
Apr-2014,"1,090",
May-2014,"1,018",
Jun-2014,"1,010",
Jul-2014,"1,076",
Aug-2014,"1,047",
Sep-2014,"1,077",
Oct-2014,"1,094",
Nov-2014,"1,059",
Dec-2014,"1,072",
Jan-2015,"1,049",
Feb-2015,"1,127",
Mar-2015,"1,072",
Apr-2015,"1,166",
May-2015,"1,272",
Jun-2015,"1,379",
Jul-2015,"1,140",
Aug-2015,"1,165",
Sep-2015,"1,144",
Oct-2015,"1,160",
Nov-2015,"1,244",
Dec-2015,"1,211",
Jan-2016,"1,171",
Feb-2016,"1,172",
Mar-2016,"1,118",
Apr-2016,"1,160",
May-2016,"1,205",
Jun-2016,"1,208",
Jul-2016,"1,198",
Aug-2016,"1,201",
Sep-2016,"1,303",
Oct-2016,"1,254",
Nov-2016,"1,230",
Dec-2016,"1,248",
Jan-2017,"1,303",
Feb-2017,"1,234",
Mar-2017,"1,272",
Apr-2017,"1,251",
May-2017,"1,208",
Jun-2017,"1,353",
Jul-2017,"1,256",
Aug-2017,"1,319",
Sep-2017,"1,273",
Oct-2017,"1,356",
Nov-2017,"1,299",
Dec-2017,"1,311",
Jan-2018,"1,317",
Feb-2018,"1,321",
Mar-2018,"1,385",
Apr-2018,"1,378",
May-2018,"1,338",
Jun-2018,"1,345",
Jul-2018,"1,334",
Aug-2018,"1,273",
Sep-2018,"1,314",
Oct-2018,"1,272",
Nov-2018,"1,340",
Dec-2018,"1,317",
Jan-2019,"1,261",
Feb-2019,"1,287",
Mar-2019,"1,305",
Apr-2019,"1,311",
May-2019,"1,347",
Jun-2019,"1,315",
Jul-2019,"1,352",
Aug-2019,"1,489",
Sep-2019,"1,474",
Oct-2019,"1,525",
Nov-2019,"1,527",
Dec-2019,"1,451",
Jan-2020,"1,507",
Feb-2020,"1,442",
Mar-2020,"1,358",
Apr-2020,"1,066",
May-2020,"1,260",
Jun-2020,"1,338",
Jul-2020,"1,546",
Aug-2020,"1,529",
Sep-2020,"1,624",
Oct-2020,"1,613",
Nov-2020,"1,714",
Dec-2020,"1,744",
Jan-2021,"1,883",
Feb-2021,"1,715",
Mar-2021,"1,732",
Apr-2021,"1,738",
May-2021,"1,681",
Jun-2021,"1,657",
Jul-2021,"1,652",
Aug-2021,"1,770",
Sep-2021,"1,625",
Oct-2021,"1,719",
Nov-2021,"1,766",
Dec-2021,"1,913",
Jan-2022,"1,915",
Feb-2022,"1,860",
Mar-2022,"1,879",
Apr-2022,"1,835",
May-2022,"1,712",
Jun-2022,"1,745",
Jul-2022,"1,719",
Aug-2022,"1,542",
Sep-2022,"1,613",
Oct-2022,"1,560",
Nov-2022,"1,402",
Dec-2022,"1,400",
Jan-2023,"1,443",
Feb-2023,"1,620",
Mar-2023,"1,493",
Apr-2023,"1,470",
May-2023,"1,532",
Jun-2023,"1,493",
Jul-2023,"1,501",
Aug-2023,"1,578",
Sep-2023,"1,515",
Oct-2023,"1,534",
Nov-2023,"1,508",
Dec-2023,"1,530",
Jan-2024,"1,508",
Feb-2024,"1,563",
Mar-2024,"1,485",
Apr-2024,"1,440",
May-2024,NA,
Jun-2024,NA,
Jul-2024,NA,
Aug-2024,NA,
Sep-2024,NA,
Oct-2024,NA,
Nov-2024,NA,
Dec-2024,NA,
